Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
ZS,2022-10-10,2022-10-17,169.49,141.13,-16.8989,-0.4357,5,1,1 wk,score <= 0,,-39.3548,True,False,2023-10-02,159.05,
HOOD,2022-09-19,2022-10-24,9.98,10.15,1.3246,0.075,25,5,4–8 wk,rank drift (score > 0),15.0,27.8309,False,True,2022-10-31,11.45,0.3791
RCL,2022-10-17,2022-10-24,44.47,47.57,6.7573,0.1608,5,1,1 wk,rank drift (score > 0),18.0,21.3755,False,True,2022-11-14,57.2,0.5033
HAL,2022-10-17,2022-10-24,27.69,31.3,12.8113,0.4666,5,1,1 wk,rank drift (score > 0),12.0,41.4818,False,True,2022-11-07,35.55,0.5486
NFLX,2022-10-24,2022-10-31,29.02,29.51,1.4853,0.0461,5,1,1 wk,rank drift (score > 0),13.0,43.4299,False,False,2022-12-05,31.65,
UI,2022-10-03,2022-10-31,286.46,336.44,17.1945,0.9956,20,4,4–8 wk,rank drift (score > 0),12.0,45.957,False,False,2024-07-15,163.62,
NOC,2022-08-01,2022-11-07,449.22,489.83,7.255,0.6171,69,14,9+ wk,rank drift (score > 0),11.0,48.0784,False,True,2022-11-28,493.03,0.0529
REGN,2022-09-12,2022-11-14,713.62,730.98,2.2275,0.0641,45,9,9+ wk,rank drift (score > 0),20.0,26.1904,False,True,2022-12-05,754.88,0.1477
LMT,2022-10-24,2022-11-14,412.99,420.43,1.2062,0.0861,15,3,2–3 wk,rank drift (score > 0),14.0,36.8258,False,True,2022-11-21,430.45,0.1838
MCK,2022-09-26,2022-11-14,334.31,352.07,3.5466,0.3757,35,7,4–8 wk,rank drift (score > 0),32.0,10.0601,False,False,2022-12-19,366.21,
MRK,2022-10-10,2022-11-14,79.88,87.67,8.416,0.8928,25,5,4–8 wk,rank drift (score > 0),17.0,31.4593,False,True,2022-11-21,93.27,0.6801
HOOD,2022-10-31,2022-11-14,11.45,10.0,-13.0256,-0.4263,10,2,2–3 wk,rank drift (score > 0),33.0,7.2674,True,False,2023-12-26,13.0,
RCL,2022-11-14,2022-11-21,57.2,56.66,-1.142,-0.0403,5,1,1 wk,rank drift (score > 0),12.0,39.2343,True,False,2023-01-17,61.44,
BKR,2022-11-14,2022-11-21,28.36,26.29,-7.4842,-0.429,5,1,1 wk,rank drift (score > 0),20.0,25.5093,True,False,2022-12-27,27.1,
HAL,2022-11-07,2022-11-21,35.55,32.7,-8.0373,-0.3947,10,2,2–3 wk,rank drift (score > 0),15.0,37.1858,True,True,2022-12-05,36.28,0.5133
SLB,2022-10-10,2022-11-28,38.5,45.03,8.1893,0.5425,34,7,4–8 wk,rank drift (score > 0),16.0,40.0732,False,False,2022-12-27,48.68,
ORCL,2022-11-14,2022-11-28,73.93,78.35,5.7669,0.4376,9,2,2–3 wk,sector cap displacement,9.0,47.35,False,True,2022-12-12,76.63,-0.1448
AVAV,2022-11-21,2022-11-28,92.73,91.5,-1.5236,-0.054,4,1,1 wk,rank drift (score > 0),17.0,35.4156,True,False,2023-03-13,88.55,
VRT,2022-10-24,2022-12-05,13.2,14.43,4.809,0.1581,29,6,4–8 wk,rank drift (score > 0),12.0,46.8237,False,False,2023-01-03,13.81,
NOC,2022-11-28,2022-12-05,493.03,506.94,2.6159,0.1561,5,1,1 wk,rank drift (score > 0),13.0,45.8909,False,True,2022-12-19,497.6,-0.0996
SMCI,2022-10-31,2022-12-05,6.858,8.65,20.6624,0.8257,24,5,4–8 wk,rank drift (score > 0),14.0,43.7929,False,True,2022-12-12,8.515,-0.0415
ANET,2022-11-14,2022-12-12,32.13,31.97,-0.7149,0.042,19,4,4–8 wk,rank drift (score > 0),16.0,23.0892,True,False,2023-03-13,36.29,
HAL,2022-12-05,2022-12-12,36.28,30.48,-16.1546,-0.6573,5,1,1 wk,score <= 0,,-17.5633,True,True,2022-12-19,33.27,0.3246
CVLT,2022-11-28,2022-12-12,65.77,64.75,-1.7615,-0.1357,10,2,2–3 wk,rank drift (score > 0),14.0,29.7111,True,True,2023-01-09,65.95,0.1564
BIIB,2022-10-03,2022-12-12,269.0,285.0,3.2098,0.1312,49,10,9+ wk,rank drift (score > 0),11.0,37.6817,False,True,2022-12-19,284.9,0.0039
REGN,2022-12-05,2022-12-19,754.88,714.25,-4.1906,-0.2856,10,2,2–3 wk,rank drift (score > 0),14.0,25.3983,True,False,2023-03-27,813.7,
UNH,2022-12-12,2022-12-19,503.01,486.99,-3.3783,-0.2503,5,1,1 wk,rank drift (score > 0),18.0,20.3731,True,False,2023-09-25,477.3,
NFLX,2022-12-05,2022-12-19,31.65,28.97,-8.6505,-0.2405,10,2,2–3 wk,rank drift (score > 0),17.0,21.7755,True,True,2023-01-09,31.68,0.2536
ENPH,2022-11-14,2022-12-19,299.07,308.11,2.8169,0.1748,24,5,4–8 wk,rank drift (score > 0),11.0,28.7098,False,False,2026-02-09,50.01,
BIIB,2022-12-19,2022-12-27,284.9,279.89,-1.9548,-0.0433,5,1,1 wk,rank drift (score > 0),13.0,23.7621,True,False,2023-05-01,305.75,
SMCI,2022-12-12,2022-12-27,8.515,8.251,-2.9982,-0.0927,10,2,2–3 wk,rank drift (score > 0),12.0,29.5672,True,False,2023-02-13,8.945,
MCK,2022-12-19,2023-01-03,366.21,366.22,-0.1971,0.011,9,2,2–3 wk,rank drift (score > 0),12.0,28.7099,False,True,2023-01-09,379.22,0.2475
NOC,2022-12-19,2023-01-09,497.6,486.74,-2.5944,-0.1324,13,3,2–3 wk,rank drift (score > 0),19.0,17.6679,True,False,2023-10-23,462.56,
HIMS,2022-11-28,2023-01-09,6.09,6.25,1.0463,0.1302,28,6,4–8 wk,rank drift (score > 0),16.0,22.8108,False,True,2023-01-17,7.51,0.4984
LMT,2022-11-21,2023-01-09,430.45,423.45,-2.0374,-0.095,32,6,4–8 wk,rank drift (score > 0),20.0,15.7435,True,False,2023-03-13,429.83,
CVLT,2023-01-09,2023-01-17,65.95,55.0,-16.7701,-1.082,5,1,1 wk,score <= 0,,-31.0341,True,False,2024-04-08,100.8,
NFLX,2023-01-09,2023-01-17,31.68,33.11,4.3051,0.1201,5,1,1 wk,rank drift (score > 0),12.0,40.8433,False,True,2023-01-23,34.17,0.0997
MRK,2022-11-21,2023-01-23,93.27,98.3,4.049,0.4921,41,8,4–8 wk,rank drift (score > 0),20.0,22.7929,False,False,2023-04-24,104.12,
MCK,2023-01-09,2023-01-23,379.22,371.73,-2.0759,-0.1572,9,2,2–3 wk,rank drift (score > 0),30.0,11.7677,True,False,2023-09-25,433.87,
