Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
E6 minimum hold 4 weeks,2025-09-24,2026-09-24,252,36.0315,36.0315,1.1844,1.768,-14.299,2.5199,97.229,100.0,14.3645,28.3138,125,115,47.8261,1.0889,Last 12m,13.7737,-10.5388,19.3315
E7 every 2 weeks + buffer 20,2022-04-01,2026-09-24,1124,348.2007,39.978,1.2758,1.8648,-27.911,1.4323,88.0109,100.0,17.1932,16.5552,335,325,46.7692,1.3558,WF stitched,16.9413,-12.3378,19.3315
E7 every 2 weeks + buffer 20,2022-04-01,2024-09-16,617,68.2193,23.667,0.9507,1.3713,-22.2392,1.0642,82.8447,100.0,11.7857,15.6958,182,172,47.6744,-0.7472,Never-seen 2022-04→2024-09,12.7787,-13.0708,19.3315
E7 every 2 weeks + buffer 20,2024-09-17,2026-09-24,507,166.7251,62.8439,1.6008,2.3622,-27.911,2.2516,94.298,100.0,22.9971,18.1027,163,153,43.7908,2.5229,Seen 2024-09→now,20.4415,-11.4369,19.3315
E7 every 2 weeks + buffer 20,2025-09-24,2026-09-24,252,31.9482,31.9482,1.0772,1.557,-19.7654,1.6164,98.224,100.0,13.0129,18.9053,84,74,37.8378,-0.5702,Last 12m,15.2825,-10.2197,19.3315
E8 monthly + buffer 20,2022-04-01,2026-09-24,1124,317.6913,37.7829,1.2323,1.8527,-27.9569,1.3515,87.9033,100.0,16.4479,10.8673,232,222,47.7477,3.9029,WF stitched,22.4414,-13.0374,41.7699
E8 monthly + buffer 20,2022-04-01,2024-09-16,617,133.8023,41.4647,1.4931,2.3002,-16.4271,2.5242,83.0197,100.0,18.1285,10.0346,125,115,48.6957,3.0699,Never-seen 2022-04→2024-09,18.8307,-11.8895,42.1151
E8 monthly + buffer 20,2024-09-17,2026-09-24,507,78.3391,33.3153,1.0163,1.5048,-27.9569,1.1917,93.8465,100.0,14.6012,12.3655,117,107,43.9252,2.2151,Seen 2024-09→now,22.7177,-13.8452,39.3534
E8 monthly + buffer 20,2025-09-24,2026-09-24,252,-5.9625,-5.9625,-0.0311,-0.0441,-19.2671,-0.3095,95.888,100.0,-0.4133,13.8941,67,57,31.5789,-5.9934,Last 12m,10.8765,-13.7795,22.7836
"E9 rank entry, exit close < MA50",2022-04-01,2026-09-24,1124,144.7565,22.2233,0.9765,1.432,-21.8749,1.0159,80.7774,99.911,11.2009,15.5673,334,324,31.1728,-1.3231,WF stitched,14.9343,-8.6864,20.7123
"E9 rank entry, exit close < MA50",2022-04-01,2024-09-16,617,32.6476,12.2313,0.687,0.9782,-14.053,0.8704,75.5141,99.8379,7.0737,14.6376,191,181,30.3867,-2.4945,Never-seen 2022-04→2024-09,9.8085,-7.8648,17.9507
"E9 rank entry, exit close < MA50",2024-09-17,2026-09-24,507,84.3262,35.5214,1.2526,1.8734,-21.8749,1.6238,87.1828,100.0,15.528,17.1892,153,143,30.0699,-0.6446,Seen 2024-09→now,20.4327,-9.7078,24.1644
